Dokumen,Term,TF,IDF,TF-IDF
rendy1.txt,cerdas,14,0.9162907318741551,12.828070246238171
rendy1.txt,buat,21,0.5108256237659907,10.727338099085806
rendy1.txt,ai,36,0.9162907318741551,32.98646634746959
rendy1.txt,teknologi,14,0.5108256237659907,7.1515587327238705
rendy1.txt,milik,3,0.7621400520468967,2.2864201561406903
rendy1.txt,mampu,6,1.3217558399823195,7.9305350398939165
rendy1.txt,pecah,5,1.6094379124341003,8.047189562170502
rendy1.txt,layak,2,1.6094379124341003,3.2188758248682006
rendy1.txt,manusia,13,0.6286086594223741,8.171912572490863
rendy1.txt,tindak,1,1.3217558399823195,1.3217558399823195
rendy1.txt,tiru,2,2.70805020110221,5.41610040220442
rendy1.txt,nali,2,1.6094379124341003,3.2188758248682006
rendy1.txt,gambar,10,1.3217558399823195,13.217558399823195
rendy1.txt,tulis,5,1.6094379124341003,8.047189562170502
rendy1.txt,puisi,3,2.70805020110221,8.12415060330663
rendy1.txt,prediksi,2,0.7621400520468967,1.5242801040937934
rendy1.txt,bas,2,0.7621400520468967,1.5242801040937934
rendy1.txt,data,7,0.6286086594223741,4.400260615956618
rendy1.txt,kenal,9,1.0986122886681098,9.887510598012987
rendy1.txt,praktik,1,1.6094379124341003,1.6094379124341003
rendy1.txt,simulasi,3,2.70805020110221,8.12415060330663
rendy1.txt,organisasi,1,2.0149030205422647,2.0149030205422647
rendy1.txt,modern,1,2.70805020110221,2.70805020110221
rendy1.txt,kumpul,1,1.0986122886681098,1.0986122886681098
rendy1.txt,agam,1,0.9162907318741551,0.9162907318741551
rendy1.txt,sumber,1,1.3217558399823195,1.3217558399823195
rendy1.txt,sensor,1,2.0149030205422647,2.0149030205422647
rendy1.txt,pintar,2,2.0149030205422647,4.029806041084529
rendy1.txt,konten,2,1.3217558399823195,2.643511679964639
rendy1.txt,alat,1,1.3217558399823195,1.3217558399823195
rendy1.txt,pantau,1,2.0149030205422647,2.0149030205422647
rendy1.txt,log,1,2.70805020110221,2.70805020110221
rendy1.txt,sistem,4,0.6286086594223741,2.5144346376894964
rendy1.txt,analis,2,1.0986122886681098,2.1972245773362196
rendy1.txt,guna,3,0.9162907318741551,2.7488721956224653
rendy1.txt,bantu,2,0.7621400520468967,1.5242801040937934
rendy1.txt,operasi,2,0.7621400520468967,1.5242801040937934
rendy1.txt,bisnis,1,1.0986122886681098,1.0986122886681098
rendy1.txt,efektif,2,1.0986122886681098,2.1972245773362196
rendy1.txt,respons,1,2.0149030205422647,2.0149030205422647
rendy1.txt,cakap,2,2.0149030205422647,4.029806041084529
rendy1.txt,dukung,1,0.6286086594223741,0.6286086594223741
rendy1.txt,langgan,2,1.6094379124341003,3.2188758248682006
rendy1.txt,teks,8,1.6094379124341003,12.875503299472802
rendy1.txt,orisinal,1,2.70805020110221,2.70805020110221
rendy1.txt,pasar,2,0.7621400520468967,1.5242801040937934
rendy1.txt,saran,1,1.3217558399823195,1.3217558399823195
rendy1.txt,analitik,1,2.0149030205422647,2.0149030205422647
rendy1.txt,perangkat,6,1.6094379124341003,9.656627474604601
rendy1.txt,lunak,4,1.6094379124341003,6.437751649736401
rendy1.txt,interaksi,1,1.3217558399823195,1.3217558399823195
rendy1.txt,dikustom,1,2.70805020110221,2.70805020110221
rendy1.txt,kompleks,2,1.3217558399823195,2.643511679964639
rendy1.txt,bentuk,2,0.9162907318741551,1.8325814637483102
rendy1.txt,warna,1,2.0149030205422647,2.0149030205422647
rendy1.txt,warni,1,2.70805020110221,2.70805020110221
rendy1.txt,jenis,1,1.0986122886681098,1.0986122886681098
rendy1.txt,aplikasi,1,0.9162907318741551,0.9162907318741551
rendy1.txt,tingkat,2,0.6286086594223741,1.2572173188447482
rendy1.txt,eksponensial,1,2.70805020110221,2.70805020110221
rendy1.txt,contoh,1,1.0986122886681098,1.0986122886681098
rendy1.txt,temu,1,0.9162907318741551,0.9162907318741551
rendy1.txt,libat,1,1.3217558399823195,1.3217558399823195
rendy1.txt,dasar,2,1.3217558399823195,2.643511679964639
rendy1.txt,deskripsi,1,2.0149030205422647,2.0149030205422647
rendy1.txt,ambil,2,1.6094379124341003,3.2188758248682006
rendy1.txt,prompt,1,2.70805020110221,2.70805020110221
rendy1.txt,sederhana,2,1.6094379124341003,3.2188758248682006
rendy1.txt,matahari,1,2.70805020110221,2.70805020110221
rendy1.txt,benam,1,2.70805020110221,2.70805020110221
rendy1.txt,gunung,1,2.70805020110221,2.70805020110221
rendy1.txt,hasil,3,0.6286086594223741,1.8858259782671223
rendy1.txt,realistis,1,2.70805020110221,2.70805020110221
rendy1.txt,artistik,1,2.70805020110221,2.70805020110221
rendy1.txt,pandang,1,1.3217558399823195,1.3217558399823195
rendy1.txt,seni,1,2.70805020110221,2.70805020110221
rendy1.txt,hibur,1,2.70805020110221,2.70805020110221
rendy1.txt,cipta,4,0.5108256237659907,2.043302495063963
rendy1.txt,visualisasi,1,2.70805020110221,2.70805020110221
rendy1.txt,konsep,4,2.0149030205422647,8.059612082169059
rendy1.txt,cepat,1,0.6286086594223741,0.6286086594223741
rendy1.txt,efisien,1,1.3217558399823195,1.3217558399823195
rendy1.txt,otomatis,1,1.6094379124341003,1.6094379124341003
rendy1.txt,gaya,1,2.70805020110221,2.70805020110221
rendy1.txt,kalimat,1,1.6094379124341003,1.6094379124341003
rendy1.txt,artikel,1,1.3217558399823195,1.3217558399823195
rendy1.txt,cerita,1,2.0149030205422647,2.0149030205422647
rendy1.txt,lengkap,1,0.9162907318741551,0.9162907318741551
rendy1.txt,chatbot,3,2.0149030205422647,6.0447090616267936
rendy1.txt,email,1,2.70805020110221,2.70805020110221
